STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
720137,04867, 20190202,   20.3,24,   18.0,24, 9999.9, 0,  999.3,24,   6.4,24,   5.5,24,  13.0, 999.9,   38.8 ,   7.5 , 0.00G,999.9, 000000,
720137,04867, 20190203,   39.0,24,   38.4,24, 9999.9, 0,  990.8,24,   4.5,24,   7.5,24,  11.1, 999.9,   45.5 ,  34.9 , 0.00I,999.9, 000000,
720137,04867, 20190204,   42.9,24,   42.2,24, 9999.9, 0,  986.2,24,   6.3,24,   7.0,24,  15.0,  19.0,   48.4 ,  33.8 ,99.99 ,999.9, 110000,
720137,04867, 20190205,   30.2,24,   26.2,24, 9999.9, 0,  996.1,24,  10.0,24,   8.5,24,  15.0,  20.0,   36.0 ,  24.6 ,99.99 ,999.9, 001000,
720137,04867, 20190206,   32.9,24,   32.4,24, 9999.9, 0,  991.9,24,   3.3,24,   2.9,24,   9.9, 999.9,   35.6 ,  31.6 , 0.34G,999.9, 111010,
720137,04867, 20190207,   34.7,24,   34.4,24, 9999.9, 0,  987.9,24,   3.8,24,   6.9,24,  28.9,  38.1,   39.4*,  22.3*, 0.26G,999.9, 111000,
720137,04867, 20190208,   11.7,24,    4.0,24, 9999.9, 0, 1004.7,24,   8.6,24,  21.8,24,  28.9,  36.9,   22.3 ,   5.9 , 0.00G,999.9, 001000,
720137,04867, 20190209,   12.3,24,    3.9,24, 9999.9, 0, 1021.6,24,  10.0,24,   5.5,24,  15.0,  19.0,   24.8 ,   5.4 , 0.00I,999.9, 000000,
720137,04867, 20190210,   24.3,24,   18.8,24, 9999.9, 0, 1010.0,24,   8.3,24,   6.1,24,  12.0, 999.9,   28.6 ,  19.0 , 0.03A,999.9, 001000,
720137,04867, 20190211,   29.0,24,   27.8,24, 9999.9, 0,  999.0,24,   4.4,24,   3.6,24,  11.1,  15.0,   32.2 ,  26.6 , 0.03A,999.9, 011000,
720137,04867, 20190212,   31.8,24,   31.2,24, 9999.9, 0,  984.6,24,   3.7,24,   5.6,24,  15.0,  20.0,   32.9 ,  27.3 , 0.48G,999.9, 111000,
720137,04867, 20190213,   19.6,24,   14.7,24, 9999.9, 0,  991.2,24,   8.7,24,  15.6,24,  24.1,  29.9,   27.3 ,  11.3 , 0.00G,999.9, 001000,
720137,04867, 20190214,   35.6,24,   30.4,24, 9999.9, 0,  984.9,24,  10.0,24,   7.3,24,  13.0,  17.1,   47.5 ,  24.6 , 0.00I,999.9, 000000,
720137,04867, 20190215,   21.4,24,   16.6,24, 9999.9, 0,  988.3,24,   9.6,24,  15.1,24,  26.0,  32.1,   41.5 ,  10.2 ,99.99 ,999.9, 001000,
720137,04867, 20190216,   19.2,24,   13.1,24, 9999.9, 0,  997.3,24,  10.0,24,   3.0,24,  11.1,  14.0,   30.6 ,  11.8 , 0.00I,999.9, 000000,
720137,04867, 20190217,   26.3,24,   22.1,24, 9999.9, 0,  991.4,24,   6.9,24,   8.4,24,  15.0,  20.0,   28.4 ,  24.6 , 0.04A,999.9, 001000,
720137,04867, 20190218,   24.9,24,   21.9,24, 9999.9, 0,  999.1,24,   7.4,24,   3.0,24,   8.0, 999.9,   28.2 ,  19.4 , 0.01A,999.9, 001000,
720137,04867, 20190219,   19.5,24,   14.1,24, 9999.9, 0, 1013.3,24,  10.0,24,   1.7,24,   8.0, 999.9,   33.6 ,  10.4 , 0.00I,999.9, 000000,
720137,04867, 20190220,   32.0,24,   28.3,24, 9999.9, 0,  995.6,24,   6.4,24,  10.7,24,  18.1,  22.0,   36.7 ,  28.9 , 0.02G,999.9, 011000,
720137,04867, 20190221,   31.3,24,   24.8,24, 9999.9, 0,  996.5,24,  10.0,24,  10.1,24,  19.0,  24.1,   35.2 ,  26.1 , 0.02G,999.9, 010000,
720137,04867, 20190222,   30.6,24,   23.3,24, 9999.9, 0, 1006.6,24,   8.7,24,   3.2,24,   8.9, 999.9,   42.6 ,  22.1 , 0.00G,999.9, 000000,
720137,04867, 20190223,   35.2,24,   31.6,24, 9999.9, 0,  996.1,24,   5.1,24,   8.4,24,  14.0,  17.1,   39.7 ,  32.9 , 0.47B,999.9, 011000,
720137,04867, 20190224,   35.4,24,   31.7,24, 9999.9, 0,  979.2,24,   8.0,24,  22.7,24,  39.0,  49.9,   46.6 ,  23.0 , 0.10A,999.9, 110010,
720137,04867, 20190225,   15.3,24,    4.8,24, 9999.9, 0, 1005.4,24,  10.0,24,  16.3,24,  34.0,  44.1,   23.2 ,   8.4 , 0.00I,999.9, 000000,
720137,04867, 20190226,   21.9,24,   11.4,24, 9999.9, 0, 1009.7,24,  10.0,24,   4.7,24,  12.0,  15.9,   29.3 ,  18.1 , 0.00I,999.9, 000000,
720137,04867, 20190227,   26.3,24,   17.8,24, 9999.9, 0, 1001.2,24,  10.0,24,   7.1,24,  15.0,  20.0,   29.8 ,  23.0 ,99.99 ,999.9, 001000,
720137,04867, 20190228,   20.8,21,   11.8,21, 9999.9, 0, 1002.7,19,  10.0,21,   2.6,21,   8.0,  15.0,   28.2 ,  13.1 , 0.00I,999.9, 000000,
720137,04867, 20190301,   28.5,24,   20.1,24, 9999.9, 0,  999.9,19,  10.0,24,   1.2,24,   6.0, 999.9,   38.5 ,  22.8 ,99.99 ,999.9, 010000,
720137,04867, 20190302,   30.8,24,   24.1,24, 9999.9, 0, 1000.4,24,   9.3,24,   3.8,24,  11.1,  17.1,   34.7 ,  28.4 ,99.99 ,999.9, 001000,
720137,04867, 20190303,   23.3,24,   14.2,24, 9999.9, 0, 1002.4,24,  10.0,24,   6.2,24,  15.0,  20.0,   28.4 ,  16.0 ,99.99 ,999.9, 001000,
720137,04867, 20190304,    6.6,24,   -4.3,24, 9999.9, 0, 1002.5,24,  10.0,24,  13.9,24,  18.1,  25.1,   16.2 ,  -1.8 , 0.00I,999.9, 000000,
720137,04867, 20190305,   13.2,24,    1.9,24, 9999.9, 0,  999.2,24,  10.0,24,  13.3,24,  25.1,  33.0,   23.2 ,   7.5 ,99.99 ,999.9, 001000,
720137,04867, 20190306,   18.0,24,    5.1,24, 9999.9, 0, 1003.9,18,  10.0,24,  11.7,24,  20.0,  28.0,   33.8 ,   5.9 , 0.00I,999.9, 000000,
720137,04867, 20190307,   23.2,24,   11.9,24, 9999.9, 0, 1005.0,24,  10.0,24,   4.4,24,  11.1, 999.9,   30.6 ,  13.5 , 0.00I,999.9, 000000,
720137,04867, 20190308,   30.3,24,   22.2,24, 9999.9, 0, 1000.5,24,   8.7,24,   4.4,24,   8.9, 999.9,   45.1 ,  23.4 ,99.99 ,999.9, 001000,
720137,04867, 20190309,   33.9,24,   30.0,24, 9999.9, 0,  991.2,24,   7.1,24,  10.7,24,  22.9,  32.1,   40.1 ,  28.4 , 0.43A,999.9, 011010,
720137,04867, 20190310,   37.4,24,   33.7,24, 9999.9, 0,  984.9,24,   9.2,24,  18.8,24,  29.9,  38.1,   43.7 ,  32.7 , 0.02A,999.9, 010000,
720137,04867, 20190311,   32.8,24,   24.8,24, 9999.9, 0, 1005.3,24,  10.0,24,   8.6,24,  14.0,  18.1,   40.5 ,  28.4 , 0.00I,999.9, 000000,
720137,04867, 20190312,   34.3,24,   28.9,24, 9999.9, 0, 1005.8,24,   8.8,24,   5.6,24,  14.0,  15.9,   45.5 ,  25.5 , 0.00I,999.9, 000000,
720137,04867, 20190313,   44.2,24,   39.6,24, 9999.9, 0,  992.2,24,   9.1,24,   9.8,24,  15.0,  22.9,   58.1*,  38.5*, 0.23G,999.9, 010000,
720137,04867, 20190314,   55.1,24,   50.5,24, 9999.9, 0,  977.6,24,  10.0,24,  17.5,24,  32.1,  41.0,   63.3 ,  44.1 , 0.48G,999.9, 010010,
720137,04867, 20190315,   37.8,24,   34.1,24, 9999.9, 0,  987.3,24,   9.2,24,  17.5,24,  26.0,  35.0,   44.2 ,  34.2 , 0.07G,999.9, 010000,
720137,04867, 20190316,   34.1,24,   25.6,24, 9999.9, 0, 1003.5,24,  10.0,24,  10.5,24,  17.1,  24.1,   41.9 ,  28.0 , 0.00G,999.9, 000000,
